
The total number of moves : 11975

   14 ,    19 ,    17 ,    21 ,    20 ,    25 ,    28 ,    26 ,    18 ,    16 ,    18 ,     9 ,    13 ,    18 ,    20 ,    17 ,    14 ,    14 ,    12 ,     7 
   21 ,    25 ,    21 ,    31 ,    32 ,    24 ,    30 ,    33 ,    25 ,    20 ,    26 ,    21 ,    18 ,    30 ,    28 ,    22 ,    15 ,    19 ,    26 ,    24 
   17 ,    32 ,    25 ,    23 ,    26 ,    17 ,    26 ,    18 ,    25 ,    29 ,    18 ,    24 ,    25 ,    17 ,    26 ,    27 ,    26 ,    19 ,    26 ,    26 
   11 ,    30 ,    32 ,    18 ,    23 ,    18 ,    24 ,    19 ,    19 ,    16 ,    23 ,    25 ,    12 ,    20 ,    28 ,    25 ,    24 ,    21 ,    18 ,    18 
   13 ,    24 ,    27 ,    23 ,    22 ,    26 ,    16 ,    21 ,    14 ,    16 ,    16 ,    19 ,    15 ,    18 ,    20 ,    21 ,    24 ,    15 ,    15 ,    12 
   13 ,    19 ,    22 ,    22 ,    28 ,    16 ,    20 ,    19 ,    20 ,    14 ,    18 ,    18 ,    17 ,    21 ,    22 ,    25 ,    16 ,    21 ,    22 ,    21 
    7 ,    10 ,    18 ,    33 ,    24 ,    18 ,    18 ,    19 ,    19 ,    10 ,    14 ,    17 ,    13 ,    19 ,    21 ,    20 ,    23 ,    27 ,    27 ,    21 
   12 ,    21 ,    22 ,    20 ,    17 ,    16 ,    15 ,    21 ,    16 ,    16 ,    10 ,    14 ,    14 ,    19 ,    17 ,    20 ,    25 ,    20 ,    23 ,    17 
   18 ,    23 ,    15 ,    17 ,    10 ,    16 ,    17 ,    15 ,    23 ,    23 ,    22 ,     9 ,    19 ,    22 ,    18 ,    22 ,    17 ,    20 ,    20 ,    12 
   25 ,    26 ,    16 ,    19 ,    24 ,    15 ,    17 ,    19 ,    23 ,    21 ,    15 ,    15 ,    18 ,    17 ,    28 ,    29 ,    25 ,    20 ,    18 ,    12 
   19 ,    17 ,    17 ,    10 ,    14 ,    15 ,    11 ,    20 ,    16 ,    13 ,    14 ,    23 ,    25 ,    15 ,    29 ,    22 ,    13 ,    21 ,    23 ,    10 
   21 ,    23 ,    16 ,    10 ,    16 ,    13 ,    12 ,    18 ,    24 ,    21 ,    29 ,    25 ,    20 ,    23 ,    20 ,    19 ,    20 ,    22 ,    18 ,     6 
   14 ,    21 ,    17 ,    12 ,    17 ,    15 ,    15 ,    14 ,    21 ,    14 ,    17 ,    24 ,    10 ,    21 ,    15 ,    19 ,    19 ,    26 ,    15 ,     8 
   12 ,    20 ,    20 ,    18 ,    11 ,     9 ,    18 ,    15 ,    21 ,    17 ,    18 ,    14 ,    22 ,    17 ,    27 ,    28 ,    20 ,    22 ,    17 ,    10 
   15 ,    20 ,    15 ,    15 ,    15 ,    15 ,    17 ,    18 ,    15 ,    20 ,    16 ,    22 ,    23 ,    25 ,    26 ,    30 ,    35 ,    23 ,    25 ,    15 
   12 ,    20 ,    20 ,    17 ,    12 ,    16 ,    12 ,    17 ,    12 ,    18 ,    16 ,    18 ,    25 ,    25 ,    29 ,    34 ,    23 ,    22 ,    25 ,    23 
   13 ,    20 ,    20 ,    21 ,    12 ,     9 ,     7 ,    12 ,    15 ,    10 ,    25 ,    22 ,    17 ,    24 ,    29 ,    17 ,    22 ,    24 ,    20 ,    16 
   10 ,    30 ,    26 ,    18 ,    11 ,    12 ,     7 ,     8 ,     8 ,    11 ,    16 ,    20 ,    15 ,    16 ,    13 ,    18 ,    27 ,    26 ,    19 ,    12 
